name,lat,lon
Nádraží Hostivař,50.053356,14.536778
Nové Pitkovice,50.017204,14.584933
Na Lhotkách,49.95334,14.368297
Boletická,50.132874,14.513643
Královická,50.065277,14.515526
Jiřího z Poděbrad,50.077526,14.44971
Blatov,50.078747,14.645492
Nádraží Žvahov - Prosluněná,50.044903,14.402256
Komárovská,50.11531,14.62145
Nádraží Horní Měcholupy,50.04866,14.564873
Tempo,50.020035,14.451962
K Třebonicům,50.036686,14.299112
Nymburská,50.126747,14.558483
Starý Zličín,50.06172,14.280451
Českomoravská,50.10583,14.492602
Štvanice,50.09527,14.436951
Viktoria Žižkov,50.084923,14.444183
Třinecká,50.13424,14.509819
Raichlova,50.03913,14.328331
Správa sociálního zabezpečení,50.05928,14.405902
Toulcův dvůr,50.047802,14.519342
Modrá škola,50.031456,14.523545
Červený Vrch,50.096832,14.352642
Třebešovská,50.115555,14.625996
U Spojů,50.145668,14.475275
Hellichova,50.084923,14.404324
Nad Parkánem,50.012554,14.631437
Nádraží Vršovice,50.066055,14.448021
Dolnoměcholupská,50.06006,14.557747
Zbyslavská,50.074173,14.671418
U Staré školy,50.090176,14.421087
Karlínské náměstí,50.092766,14.445656
Kundratka,50.112576,14.479704
Dvořákova,50.1453,14.437286
K Trninám,50.06862,14.311083
Malešická,50.086506,14.481972
Koleje Jižní Město,50.01724,14.499903
Stodůlky,50.046642,14.307148
Praha-Hostivař,50.05496,14.53823
Horky,50.06156,14.446262
K Lesoparku,50.049892,14.538555
Basilejské náměstí,50.08719,14.470921
Nemocnice Na Františku,50.093002,14.422155
Mariánské náměstí,50.087296,14.417489
Dělostřelecká,50.096535,14.387833
Park Maxe van der Stoela,50.090073,14.385905
Chaplinovo náměstí,50.03515,14.377419
Prosecká,50.117374,14.496969
Pod Kesnerkou,50.05929,14.403062
Poliklinika Mazurská,50.1273,14.413631
Rápošovská,50.07734,14.654314
OC Stromovka,50.101948,14.429262
Darwinova,50.01081,14.409959
Sklářská,50.057243,14.536619
Goetheho,50.107437,14.404092
Za Avií,50.150818,14.514292
Štěpánská,50.075604,14.4234
Černý vrch,50.068314,14.387395
Bolevecká,50.04312,14.55613
Milevská,50.048615,14.430271
Líbeznická,50.128944,14.455515
Strossmayerovo náměstí,50.09891,14.433265
Nad Košíkem,50.045006,14.519201
Hasičská,50.07828,14.603679
Sídliště Modřany,50.00524,14.433165
Krčská,50.04358,14.442513
Observatoř Libuš,50.00665,14.446491
Lipence,49.959675,14.352923
Na Proutcích,50.01319,14.502717
Pávovské náměstí,50.09321,14.540859
Záhorského,50.030365,14.370882
Malostranská,50.091072,14.41006
Mokřanská,50.063442,14.526726
Pod Lahovskou,49.991455,14.36562
Bulovka,50.11641,14.46795
Čechův most,50.094055,14.417288
Palackého náměstí,50.07274,14.414446
Dubeč,50.06182,14.596533
Solná,49.996555,14.366285
Radnice Praha 6,50.10048,14.401611
Praha-Eden,50.065785,14.471769
U Průhonu,50.104923,14.450027
Vackov,50.0869,14.486251
Malovanka,50.085506,14.382293
Wattova,50.03745,14.561984
Na Homoli,50.076283,14.530405
Lahovská,49.998276,14.36703
Koleje Strahov,50.080345,14.390033
Lázeňka,50.058384,14.584743
Štěchovická,50.072094,14.500773
Anděl,50.07126,14.403365
Pekárenská,50.04945,14.46395
Štěpařská,50.032272,14.373392
Kamenolom Zbraslav,49.959675,14.394268
Bašteckého,50.03994,14.336145
Ke Štěrkovně,49.957176,14.371549
Škola Slivenec,50.02012,14.355209
Rousínovská,50.146225,14.571388
Velká Chuchle,50.01215,14.380734
Dolní Černošice,49.96297,14.332371
Praha-Zbraslav,49.97053,14.399713
Modřanská škola,50.009068,14.403147
Za Farou,50.020054,14.350725
Bojasova,50.132534,14.462613
Lhotecký les,50.01565,14.43726
Těšnov,50.091698,14.436561
Škola Kolovraty,50.01117,14.627602
Nuselská radnice,50.062866,14.441591
Nádraží Běchovice,50.081146,14.598888
Dubečský hřbitov,50.052498,14.580454
Pernerova,50.089356,14.443106
Spolská,50.090614,14.541557
Čakovice,50.151436,14.530387
Jiviny,50.077416,14.303927
Zamašská,50.14043,14.546904
Ke Klíčovu,50.112755,14.50577
Plzeňka,50.063583,14.408768
Ke Xaverovu,50.099667,14.6238
Nádraží Horní Počernice,50.11536,14.612968
Slovinská,50.070778,14.459145
Ctěnice,50.145577,14.557268
Mikulova,50.031944,14.51469
Čínská,50.10898,14.394304
Jakobiho,50.03325,14.559561
Nábřeží Kapitána Jaroše,50.09632,14.431299
Sídliště Čimice,50.14411,14.432021
U Jahodnice,50.08421,14.550695
Lehárova,50.00888,14.405748
Nad Habrovkou,50.109085,14.345734
Královský letohrádek,50.094246,14.404763
K Hájům,50.05509,14.325163
Botanická zahrada,50.070778,14.419264
Sparta,50.09916,14.417687
Přímské náměstí,50.09891,14.678395
Do Rybníčků,50.14965,14.4452
Tusarova,50.10073,14.450172
Čakovická,50.119076,14.518726
Novozámecká,50.089333,14.569764
Smíchovský hřbitov,50.062145,14.389498
Strážní,50.092255,14.481275
Nová kolonie,50.050644,14.327984
Slánská,50.064484,14.30897
Šedivého,50.07093,14.314699
Praha-Radotín,49.985874,14.364065
Belárie,50.013287,14.401838
Nový Střížkov,50.11852,14.483915
Tachovské náměstí,50.087288,14.45233
U Studánky,49.998528,14.482804
Tehovičky,50.01296,14.623409
K Tuchoměřicům,50.11599,14.291384
Weberova,50.0735,14.355875
Křeslice,50.02344,14.565085
Zásadská,50.12877,14.49611
Spalovna Malešice,50.080185,14.538061
Koloděje,50.060158,14.640762
Stará Libuš,50.008102,14.462875
Hasova,50.015366,14.426987
Vinoř,50.151756,14.591041
Šumavská,50.075348,14.443871
Stochovská,50.082974,14.311075
U Hangáru,50.1083,14.277419
Nádraží Klánovice-sever,50.087837,14.66551
Kavalírka,50.06994,14.370382
Nemocnice Bohnice - Hlavní vrátnice,50.135868,14.428747
Hájek,50.050102,14.628107
Nový Hloubětín,50.109737,14.529731
Odra,50.13086,14.424155
Albertov,50.067917,14.420799
Sušická,50.10182,14.372858
Filmové ateliéry Barrandov,50.031044,14.392094
Stachova,50.0353,14.531261
Prašný most,50.09482,14.395074
Řepínská,50.133514,14.430046
Lýskova,50.051025,14.309393
Vinohradská vodárna,50.075398,14.449725
Boloňská,50.04773,14.556165
Jordánská,50.11104,14.562793
Na Hůrce,50.077896,14.292375
Tylova čtvrť,50.008125,14.415525
Schorova,50.102234,14.469186
Přívozní,50.110226,14.451601
Zbraslav,49.959045,14.382795
Kostrounek,49.969357,14.381944
Pavelkova,50.0,14.427351
Škola Šeberov,50.00647,14.516811
Družná,50.01217,14.416985
Vinice,50.07687,14.488836
Zderazská,49.980644,14.348228
Sídliště Lhotka,50.01722,14.434446
Jarníkova,50.02665,14.494118
U Mlejna,50.02706,14.602255
Vlašimská,50.074394,14.465042
U Matěje,50.112236,14.380026
Závodiště Chuchle,50.00759,14.388886
Praha-Uhříněves,50.0335,14.591714
Květinková,50.09028,14.489098
Hřebenka,50.075085,14.390112
Kamýcká,50.130364,14.382275
Zahradní Město,50.060547,14.505883
Livornská,50.04114,14.551817
V Chotejně,50.058113,14.533428
Ferrariho,50.041695,14.304737
Novovysočanská,50.100346,14.491522
K Horoměřicům,50.13231,14.368738
Ukrajinská,50.064995,14.452527
Dolní Chabry,50.151024,14.437692
Voňkova,50.09857,14.668009
Špitálka,50.110466,14.378151
Ke Hrázi,50.086815,14.576322
Divadlo Na Fidlovačce,50.06474,14.436709
Nad Zlíchovem,50.045235,14.404467
K Letišti,50.096146,14.292705
U Měchurky,50.0647,14.378234
Reinerova,50.07421,14.310146
Dlouhá třída,50.091103,14.42772
Bílá labuť,50.09026,14.435867
Sídliště Písnice,50.000862,14.466504
U Waltrovky,50.05867,14.373299
Hrnčíře,49.998356,14.517169
Safírová,49.989777,14.350359
Otínská,49.982437,14.355907
Čechtická,50.02092,14.444842
Lnářská,50.028206,14.597526
Trojská,50.116783,14.43254
Za Čimickým hájem,50.135445,14.447542
Zapova,50.073814,14.389523
Baba II,49.99958,14.415072
Praha-Zahradní Město,50.062313,14.504141
U Lomů,49.996952,14.338987
Terasy,50.036964,14.400169
Avia Letňany,50.14173,14.515738
Hamplova,50.159596,14.525809
Lehovec,50.106968,14.547567
Radimova,50.08754,14.365994
Nemocnice Bulovka - onkologie,50.116917,14.46277
Budovec,50.134277,14.38365
Jinonická,50.069386,14.377517
U Školy,50.043842,14.421676
Na Smetance,50.08,14.437883
Praha-Kyje,50.09756,14.543174
Klikovka,50.057,14.430601
Ďáblický hřbitov,50.13759,14.478716
Výhledy,50.13719,14.368688
Hládkov,50.0887,14.387569
Bukovinská,50.143986,14.577089
Hříbková,50.020508,14.580193
Sudějovická,50.07525,14.665745
Labe,50.013733,14.421159
U Drahaně,50.135403,14.416
U Továren,50.056397,14.53998
U Václava,50.11439,14.312211
Libeňská,50.13716,14.430042
Praha-Holešovice zast.,50.106106,14.437323
Divadlo pod Palmovkou,50.10566,14.472753
K Teplárně,50.1688,14.521185
Svépravice,50.10337,14.609434
Lešanská,50.04579,14.48353
Drobná,50.072865,14.556255
Staroměstské náměstí,50.087936,14.420891
Sídliště Letňany,50.14267,14.506805
Náměstí Jiřího Berana,50.150494,14.5266
Bělocerkevská,50.071896,14.470332
Praha-Zličín,50.064144,14.297819
Santoška,50.066475,14.399138
Čakovický zámek,50.151684,14.521517
Na Šabatce,49.98919,14.408996
Kunratická škola,50.013325,14.481635
Škola Lipence,49.960682,14.356225
Kesnerka,50.057884,14.402067
Říčanova,50.081387,14.353058
Náměstí Bratří Synků,50.064545,14.44103
Masarykovo nádraží,50.08798,14.432547
Kotorská,50.054318,14.436834
Břetislavka,50.123127,14.38971
Pod Říhákem,49.989033,14.362034
Pod Vyhlídkou,50.095123,14.376597
Milíčov,50.026974,14.530675
V Kratinách,50.145668,14.442517
Praha-Rajská zahrada,50.107533,14.560179
Velká Ohrada,50.035473,14.335968
Murmanská,50.073425,14.4795
Klánova,50.02136,14.423567
Vosmíkových,50.114357,14.473273
Viničky,49.979256,14.347851
Křižíkova,50.09329,14.451389
Ruzyňský velkoobchod,50.086338,14.313685
Poliklinika Budějovická,50.04326,14.449915
Drinopol,50.08394,14.371135
Náměstí U Lva,50.0353,14.315677
Sovenická,50.1372,14.547018
Kolbenova,50.11049,14.516205
Cikánka,49.99745,14.322625
Cílkova,50.016502,14.443309
Živcová,49.9908,14.368361
Hrazanská,49.97781,14.439549
Bruselská,50.073006,14.433263
U Tří svatých,50.01155,14.477419
V Zápolí,50.046684,14.468173
Netřebická,50.129303,14.572818
